University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
Emory University,chemistry,24360.0,1.16,2014.0,1st,"Parking is $672/year,<br>Required fees are $317/semester,<br>or roughly $950/year (fall,<br>spring and <span class=""truncated""> summer)</span>","$25,000",,,$640,chemistry
Bowling Green State University (BGSU),communication,14600.0,0.88,2014.0,4th,nan,"$15,000",,,$400,communication
12,molecular and cellular biology,20500.0,,2014.0,3rd,nan,"$22,300",,,"$1,800",molecular and cellular biology
Stanford University (SU),electrical engineering,32000.0,1.28,2014.0,2nd,nan,"$32,000",,,,electrical engineering
Illinois Institute of Technology (IIT),computer science,14300.0,0.66,2014.0,2nd,nan,,"$16,000",,"$1,700",computer science
Emory University,art history,22177.0,1.06,2014.0,3rd,nan,"$22,500",,,$323,art history
Emory University,chemistry,23500.0,1.12,2014.0,2nd,nan,"$25,000",,,"$1,500",chemistry
Emory University,cancer biology,28400.0,1.35,2014.0,,nan,"$29,000",,,$600,cancer biology
Emory University,art history,11700.0,0.56,2014.0,5th,nan,,"$9,900","$2,200",$400,art history
Emory University,chemistry,24340.0,1.16,2014.0,2nd,nan,"$25,000",,,$660,chemistry
Georgia Institute of Technology/Emory University,biomedical engineering,24000.0,,2014.0,4th,"Joint program between GaTech and Emory.<br> We pay approx $3300 in fees for the year and ~$700 in <span class=""truncated""> health insurance every year.<br> Also if you have a family the spouse/child health plans are ridiculously expensive,<br>so not much of an option.<br> there are various merit based fellowships at Tech and extracurricular work opportunities at Emory that provide additional funds on top of your base stipend (most seem to be around ~$5000 to $8000 additional)</span>","$28,000",,,"$4,000",biomedical engineering
Emory University,microbiology,31200.0,1.49,2014.0,1st,nan,"$31,200",,,,microbiology
Emory University,md/phd,29500.0,1.4,2014.0,3rd,nan,"$29,500",,,,md/phd
North Carolina State University (NCSU),sociology,16100.0,0.76,2014.0,1st,"Summer funding is not guaranteed,<br>I was very lucky to receive it as a first year.",,"$16,400","$2,000","$2,300",sociology
University of Michigan - Ann Arbor (UM),biomedical engineering,27900.0,1.41,2014.0,1st,required fees included health insurance,"$77,000",,,"$49,100",biomedical engineering
University of California - Davis (UCD),pharmacology and toxicology,24753.0,1.14,2014.0,1st,nan,"$24,753",,,,pharmacology and toxicology
Emory University,neuroscience,28500.0,1.36,2014.0,1st,nan,"$29,000",,,$500,neuroscience
Emory University,microbiology and molecular genetics,28685.0,1.37,2014.0,5th,nan,"$29,000",,,$315,microbiology and molecular genetics
Emory University,nan,19750.0,0.94,2014.0,2nd,nan,"$20,100",,,$350,nan
Emory University,biostatistics,22500.0,1.07,2014.0,5th,nan,"$22,500",,,,biostatistics
North Carolina State University (NCSU),psychology,16060.0,0.76,2014.0,1st,Annualized rate.<br>Actual salary was $7000 per semester (fall/spring).,"$18,667",,,"$2,607",psychology
Emory University,microbiology,30300.0,1.44,2014.0,2nd,nan,"$31,000",,,$700,microbiology
Emory University,political science,22000.0,1.05,2014.0,1st,Emory is on an 11 month pay cycle for stipends currently.<br>,"$22,000",,,,political science
Emory University,"women&#39;s, gender, and sexuality studies",19100.0,0.91,2014.0,5th,nan,,"$20,000",,$900,"women&#39;s, gender, and sexuality studies"
Georgia Institute of Technology (Georgia Tech),chemistry,37643.0,1.79,2014.0,3rd,nan,"$39,000",,,"$1,357",chemistry
Columbia University (CU),chemical engineering,36596.0,1.38,2014.0,6th and up,nan,"$36,596",,,,chemical engineering
University of California - San Diego (UCSD),neuroscience,32500.0,1.37,2014.0,1st,nan,"$32,500",,,,neuroscience
University of Southern California (USC),gmcb,30800.0,1.3,2014.0,4th,nan,"$31,000",,,$200,gmcb
Northeastern University (NU),applied psychology,16000.0,0.61,2014.0,1st,nan,,"$16,000",,,applied psychology
University of Manitoba,biological sciences,13000.0,,2014.0,1st,Required fees are approximate.<br>,"$17,000",,,"$4,000",biological sciences
University of California - Berkeley,political science,25000.0,1.04,2014.0,6th and up,nan,,"$25,000",,,political science
University of North Carolina - Chapel Hill (UNC),microbiology and immunology,28500.0,1.52,2014.0,6th and up,nan,"$30,000",,,"$1,500",microbiology and immunology
University of Virginia (UVA),mae,21000.0,1.07,2014.0,1st,nan,"$21,000",,,,mae
Loyola University Chicago (LUC),college of education,16000.0,0.73,2014.0,3rd,nan,,"$12,000","$4,000",,college of education
Johns Hopkins University (JHU),civil engineering,25000.0,1.07,2014.0,,nan,"$25,000",,,,civil engineering
University of California - Los Angeles (UCLA),mbidp,31000.0,1.31,2014.0,4th,nan,"$31,000",,,,mbidp
University of Minnesota - Twin Cities (UM),"history of science, technology, and medicine",16894.0,0.84,2014.0,5th,nan,,"$16,894",,,"history of science, technology, and medicine"
Ohio University (OU),communication studies,12500.0,0.75,2014.0,2nd,nan,,"$15,000",,"$2,500",communication studies
University of California - Los Angeles (UCLA),physics,30000.0,1.27,2014.0,2nd,nan,"$30,000",,,,physics
University of California - San Diego (UCSD),sociology,19000.0,0.8,2014.0,1st,nan,,"$19,000",,,sociology
Northwestern University (NU),mat sci,28060.0,1.29,2014.0,2nd,nan,"$28,500",,,$440,mat sci
University of California - Berkeley,eecs,44500.0,1.86,2014.0,1st,Includes NSF fellowship,"$44,500",,,,eecs
University of South Florida (UCF),philosophy,10600.0,0.53,2014.0,5th,nan,,"$12,000",,"$1,400",philosophy
Boston University (BU),biology,30795.0,1.17,2014.0,1st,nan,"$30,795",,,,biology
Boston University (BU),anthropology,20000.0,0.76,2014.0,,nan,,"$20,000",,,anthropology
University of Utah,biochemistry,26000.0,1.32,2014.0,4th,nan,"$26,000",,,,biochemistry
University of Maryland - College Park (UMD),linguistics,30250.0,1.1,2014.0,1st,nan,"$31,000",,,$750,linguistics
University of Alabama (UA),political science,12304.0,0.71,2014.0,1st,Health Insurance also paid by the school,,"$13,104",,$800,political science
Rice University,chemistry,26500.0,1.38,2014.0,1st,nan,"$27,000",,,$500,chemistry
Boston College (BC),history,20000.0,0.78,2014.0,1st,nan,,"$20,000",,,history
University of Delaware (UD),sociology,16900.0,0.75,2014.0,3rd,nan,"$17,500",,,$600,sociology
Florida Atlantic University (FAU),business,24000.0,1.05,2014.0,,Tuition waived; must pay other fees out of pocket,,"$24,000",,,business
University of Miami (UM),romance studies,20000.0,0.89,2014.0,1st,nan,,"$20,000",,,romance studies
University of Rochester (UR),chemistry,28490.0,1.56,2014.0,3rd,Department/PI covers the cost of tuition.<br>,"$28,500",,,$10,chemistry
University of California - Irvine (UCI),biological chemistry,29750.0,1.09,2014.0,5th,nan,"$29,750",,,,biological chemistry
Rutgers the State University of New Jersey - New Brunswick,philosophy,26000.0,1.0,2014.0,,"3 years at this rate.<br>Two years at teaching stipend rate (24,000).","$28,000",,,"$2,000",philosophy
University of New Orleans (UNO),psychology,15600.0,0.71,2014.0,5th,nan,"$16,000",,,$400,psychology
University of Maryland - Baltimore (UMB),geographic medicine,42900.0,1.84,2014.0,1st,nan,"$42,900",,,,geographic medicine
Boston University (BU),religious studies,21000.0,0.8,2014.0,3rd,nan,,"$21,000",,,religious studies
University of Colorado - Boulder (UCB),aerospace engineering,26000.0,1.26,2014.0,3rd,Varies with whether you&#39;ve passed comps or not.<br>,"$27,000",,,"$1,000",aerospace engineering
ETH,computer science,75000.0,,2014.0,1st,nan,"$75,000",,,,computer science
"Birkbeck, University of London",biological sciences,20000.0,,2014.0,4th,nan,"$20,000",,,,biological sciences
Louisiana State University - Baton Rouge,chemical engineering,23600.0,1.19,2014.0,6th and up,This doesn&#39;t include medical insurance or any other mandatory fees,"$23,600",,,,chemical engineering
Indiana University,folklore,11450.0,0.67,2014.0,4th,nan,,"$12,500",,"$1,050",folklore
University of California - Los Angeles (UCLA),asian languages and cultures,20700.0,0.88,2014.0,4th,nan,,"$21,000",,$300,asian languages and cultures
University of Montreal,biology,10500.0,,2014.0,1st,nan,"$15,000",,,"$4,500",biology
Bowling Green State University (BGSU),nan,12999.0,0.79,2014.0,3rd,nan,,"$13,000",,$1,nan
Georgetown University,history,26000.0,0.91,2014.0,6th and up,Grad School also pays for health insurance.<br>,,"$26,000",,,history
Princeton University,sociology,28800.0,1.32,2014.0,5th,nan,"$28,800",,,,sociology
Louisiana State University - Baton Rouge,civil engineering,20700.0,1.04,2014.0,5th,Fees include health insurance.<br>,"$25,000",,,"$4,300",civil engineering
Temple University (TU),civil and environmental engineering,23833.0,1.14,2014.0,1st,"500/semester depending on number of courses ($ 500 if enrolled in two courses in Engineering <span class=""truncated""> program)</span>",,"$17,833","$6,000",,civil and environmental engineering
Georgia Institute of Technology (Georgia Tech),psychology cbs,13840.0,0.66,2014.0,4th,"While graduate student salaries are not going up (and haven&#39;t for years),<br>the faculty (who has <span class=""truncated""> control over how much we make; graduate students have no say in this vote)<br>has repeatedly voted to increase their own salaries which were already considered high for the area .<br>Summer salaries are not guaranteed.<br>There is no extra income for teaching as a graduate student.<br>Students are expected to pay student fees without help from advisers or department.<br>Classes for the first year are full time and with the new deadline system,<br>you will not be able to find a second job that doesn&#39;t leave you working for nearly 24 / 7 (also,<br>I&#39;m not sure you want to work nights in Atlanta.<br>It&#39;s not a safe city).<br>With my salary and qualifying for FDIC low income housing,<br>walking to school every day and cutting back where I can,<br>I am still not able to afford basic groceries on my salary.<br>Many graduate students in the department are really struggling to get by.<br>If you don&#39;t have a parent to help you with this and you can&#39;t qualify for food stamps or find a flexible second job,<br>you will have to take out loans.<br>It&#39;s really bad.<br></span>",,"$16,445",,"$2,605",psychology cbs
University of Wisconsin - Madison (UW),materials science phd,16500.0,0.83,2014.0,1st,"The stipend here is about $3,000 below the living wage and housing prices have been rapidly <span class=""truncated""> increasing over the last 5 years.<br>One of the other graduate student is contemplating going on food stamps and I have trouble purchasing groceries each month.<br>Many other students have gotten second jobs even though it is technically forbidden by the program.<br>I would not recommend going into this program unless you have support from family.<br>I&#39;ll be leaving,<br>getting a job to save up money for the next few years and then going to a different University.<br>I have been slowly sliding into debt and I refuse to take out any more loans.<br></span>",,"$18,000",,"$1,500",materials science phd
Rensselaer Polytechnic Institute (RPI),mane,22285.0,1.13,2014.0,5th,nan,,"$18,500","$6,167","$2,382",mane
Georgia State University (GSU),psychology / cognitive sciences,16500.0,0.79,2014.0,1st,nan,"$18,000",,,"$1,500",psychology / cognitive sciences
University of Idaho (UI),biology,23000.0,1.37,2014.0,5th,nan,"$23,000",,,,biology
Georgia Institute of Technology (Georgia Tech),electrical and computer engineering,23637.0,1.13,2014.0,5th,"Parking permit is $774 for the whole year  and $611 for health insurance if you are buying Tech&#39;s <span class=""truncated""> BCBS plan.<br>$3363 is the mandatory fee (athletic,<br>transportation,<br>technology,<br>tuition,<br>health,<br>recreation,<br>activity,<br>and if applicable international student fee)</span>","$27,000",,,"$3,363",electrical and computer engineering
Cornell University (CU),art history,26600.0,1.24,2014.0,4th,nan,"$27,000",,,$400,art history
University of California - San Diego (UCSD),political science,29300.0,1.24,2014.0,5th,nan,"$30,000",,,$700,political science
,nan,28000.0,,2014.0,,nan,"$30,000",,,"$2,000",nan
Virginia Commonwealth University (VCU),management,22000.0,1.02,2014.0,4th,nan,"$22,000",,,,management
Ohio State University (OSU),electrical &amp; computer engineering,24000.0,1.42,2014.0,1st,nan,"$24,000",,,,electrical &amp; computer engineering
University of Wisconsin - Madison (UW),math,15380.0,0.78,2014.0,1st,nan,,"$15,380",,,math
University of Texas - San Antonio (UTSA),cell and molecular biology,26000.0,1.44,2014.0,1st,nan,"$26,000",,,,cell and molecular biology
University of Nebraska - Lincoln (NU),english,16000.0,0.95,2014.0,1st,nan,"$16,000",,,,english
University of Michigan - Ann Arbor (UM),english,16000.0,0.81,2014.0,1st,nan,"$16,000",,,,english
Ohio State University (OSU),english,15588.0,0.92,2014.0,1st,nan,"$15,588",,,,english
Arizona State University (ASU),business,30000.0,1.57,2014.0,1st,nan,"$30,000",,,,business
University of Kansas (KU),economics,16100.0,0.86,2014.0,1st,nan,"$17,000",,,$900,economics
University of Arizona (U of A),anthropology,14479.0,0.83,2014.0,4th,nan,,"$15,500",,"$1,021",anthropology
Michigan State University (MSU),electrical &amp; computer engineering,42500.0,2.3,2014.0,4th,"Includes $5,500 for consulting job.<br>All tuition,<br>fees and health insurance covered.","$42,500",,,,electrical &amp; computer engineering
Pennsylvania State University (Penn State),mathematics,30500.0,1.65,2014.0,4th,nan,,"$23,850","$6,650",,mathematics
Brown University,comparative literature,27000.0,1.31,2014.0,4th,nan,"$27,000",,,,comparative literature
University of Nebraska - Lincoln (NU),history,22000.0,1.31,2014.0,1st,nan,,"$25,000",,"$3,000",history
New York University (NYU),neuroscience,41000.0,1.55,2014.0,,nan,"$41,000",,,,neuroscience
Case Western Reserve University,physiology &amp; biophysics,27500.0,1.6,2014.0,3rd,nan,"$27,500",,,,physiology &amp; biophysics
Case Western Reserve University,bme,25000.0,1.45,2014.0,1st,nan,"$25,000",,,,bme
Rice University,ece,25400.0,1.32,2014.0,4th,nan,"$26,400",,,"$1,000",ece
University of Notre Dame (ND),chemical and biomolecular engineering,28135.0,1.56,2014.0,1st,Fully paid health insurance.<br>Low cost of living area.,"$28,200",,,$65,chemical and biomolecular engineering
